trial,color,moral,words_id,words
1,1,1,1,г╚пИ
2,1,1,2,©╤©╝
3,1,1,3,уФЁо
4,1,1,4,нчк╫
5,1,1,5,жрЁо
6,1,1,6,п╒╬╢
7,1,1,7,ндцВ
8,1,1,8,©Мхщ
9,1,1,9,╣╜╡╢
10,1,1,10,сб╦р
11,1,1,11,╧╚уЩ
12,1,1,12,г╚хц
13,1,1,13,а╝╫Ю
14,1,1,14,ифа╪
15,1,1,15,╦п╤В
16,1,1,16,уЩрЕ
17,1,1,17,хй╟╝
18,1,1,18,л╧╣╢
19,1,1,19,юЯц╡
20,1,1,20,жр╨Я
21,1,2,21,л╟ю╥
22,1,2,22,обаВ
23,1,2,23,пИн╠
24,1,2,24,╫фу╘
25,1,2,25,фшф╜
26,1,2,26,е╟╢Щ
27,1,2,27,Ё╜о╝
28,1,2,28,Лер╚
29,1,2,29,╦╞╟э
30,1,2,30,фГйс
31,1,2,31,м╣гт
32,1,2,32,брбв
33,1,2,33,╤Я╤╬
34,1,2,34,г©╪И
35,1,2,35,╠Ёея
36,1,2,36,гю╫ы
37,1,2,37,╥л╟Ы
38,1,2,38,втк╫
39,1,2,39,рУоу
40,1,2,40,╠╟ас
41,2,2,21,л╟ю╥
42,2,2,22,обаВ
43,2,2,23,пИн╠
44,2,2,24,╫фу╘
45,2,2,25,фшф╜
46,2,2,26,е╟╢Щ
47,2,2,27,Ё╜о╝
48,2,2,28,Лер╚
49,2,2,29,╦╞╟э
50,2,2,30,фГйс
51,2,2,31,м╣гт
52,2,2,32,брбв
53,2,2,33,╤Я╤╬
54,2,2,34,г©╪И
55,2,2,35,╠Ёея
56,2,2,36,гю╫ы
57,2,2,37,╥л╟Ы
58,2,2,38,втк╫
59,2,2,39,рУоу
60,2,2,40,╠╟ас
61,2,1,1,г╚пИ
62,2,1,2,©╤©╝
63,2,1,3,уФЁо
64,2,1,4,нчк╫
65,2,1,5,жрЁо
66,2,1,6,п╒╬╢
67,2,1,7,ндцВ
68,2,1,8,©Мхщ
